省,省代码,市,市代码adcode,县,adcode,citycode
北京市,110000,东城区,110101,东城区,110101,010
北京市,110000,西城区,110102,西城区,110102,010
北京市,110000,朝阳区,110105,朝阳区,110105,010
北京市,110000,丰台区,110106,丰台区,110106,010
北京市,110000,石景山区,110107,石景山区,110107,010
北京市,110000,海淀区,110108,海淀区,110108,010
北京市,110000,门头沟区,110109,门头沟区,110109,010
北京市,110000,房山区,110111,房山区,110111,010
北京市,110000,通州区,110112,通州区,110112,010
北京市,110000,顺义区,110113,顺义区,110113,010
北京市,110000,昌平区,110114,昌平区,110114,010
北京市,110000,大兴区,110115,大兴区,110115,010
北京市,110000,怀柔区,110116,怀柔区,110116,010
北京市,110000,平谷区,110117,平谷区,110117,010
北京市,110000,密云区,110118,密云区,110118,010
北京市,110000,延庆区,110119,延庆区,110119,010
天津市,120000,天津市市辖区,120100,和平区,120101,022
天津市,120000,天津市市辖区,120100,河东区,120102,022
天津市,120000,天津市市辖区,120100,河西区,120103,022
天津市,120000,天津市市辖区,120100,南开区,120104,022
天津市,120000,天津市市辖区,120100,河北区,120105,022
天津市,120000,天津市市辖区,120100,红桥区,120106,022
天津市,120000,天津市市辖区,120100,东丽区,120110,022
天津市,120000,天津市市辖区,120100,西青区,120111,022
天津市,120000,天津市市辖区,120100,津南区,120112,022
天津市,120000,天津市市辖区,120100,北辰区,120113,022
天津市,120000,天津市市辖区,120100,武清区,120114,022
天津市,120000,天津市市辖区,120100,宝坻区,120115,022
天津市,120000,天津市市辖区,120100,滨海新区,120116,022
天津市,120000,天津市市辖区,120100,宁河区,120117,022
天津市,120000,天津市市辖区,120100,静海区,120118,022
天津市,120000,天津市市辖区,120100,蓟州区,120119,022
河北省,130000,石家庄市,130100,石家庄市市辖区,130101,0311
河北省,130000,石家庄市,130100,长安区,130102,0311
河北省,130000,石家庄市,130100,桥西区,130104,0311
河北省,130000,石家庄市,130100,新华区,130105,0311
河北省,130000,石家庄市,130100,井陉矿区,130107,0311
河北省,130000,石家庄市,130100,裕华区,130108,0311
河北省,130000,石家庄市,130100,藁城区,130109,0311
河北省,130000,石家庄市,130100,鹿泉区,130110,0311
河北省,130000,石家庄市,130100,栾城区,130111,0311
河北省,130000,石家庄市,130100,井陉县,130121,0311
河北省,130000,石家庄市,130100,正定县,130123,0311
河北省,130000,石家庄市,130100,行唐县,130125,0311
河北省,130000,石家庄市,130100,灵寿县,130126,0311
河北省,130000,石家庄市,130100,高邑县,130127,0311
河北省,130000,石家庄市,130100,深泽县,130128,0311
河北省,130000,石家庄市,130100,赞皇县,130129,0311
河北省,130000,石家庄市,130100,无极县,130130,0311
河北省,130000,石家庄市,130100,平山县,130131,0311
河北省,130000,石家庄市,130100,元氏县,130132,0311
河北省,130000,石家庄市,130100,赵县,130133,0311
河北省,130000,石家庄市,130100,辛集市,130181,0311
河北省,130000,石家庄市,130100,晋州市,130183,0311
河北省,130000,石家庄市,130100,新乐市,130184,0311
河北省,130000,唐山市,130200,唐山市市辖区,130201,0315
河北省,130000,唐山市,130200,路南区,130202,0315
河北省,130000,唐山市,130200,路北区,130203,0315
河北省,130000,唐山市,130200,古冶区,130204,0315
河北省,130000,唐山市,130200,开平区,130205,0315
河北省,130000,唐山市,130200,丰南区,130207,0315
河北省,130000,唐山市,130200,丰润区,130208,0315
河北省,130000,唐山市,130200,曹妃甸区,130209,0315
河北省,130000,唐山市,130200,滦州市,130284,0315
河北省,130000,唐山市,130200,滦南县,130224,0315
河北省,130000,唐山市,130200,乐亭县,130225,0315
河北省,130000,唐山市,130200,迁西县,130227,0315
河北省,130000,唐山市,130200,玉田县,130229,0315
河北省,130000,唐山市,130200,遵化市,130281,0315
河北省,130000,唐山市,130200,迁安市,130283,0315
河北省,130000,秦皇岛市,130300,秦皇岛市市辖区,130301,0335
河北省,130000,秦皇岛市,130300,海港区,130302,0335
河北省,130000,秦皇岛市,130300,山海关区,130303,0335
河北省,130000,秦皇岛市,130300,北戴河区,130304,0335
河北省,130000,秦皇岛市,130300,抚宁区,130306,0335
河北省,130000,秦皇岛市,130300,青龙满族自治县,130321,0335
河北省,130000,秦皇岛市,130300,昌黎县,130322,0335
河北省,130000,秦皇岛市,130300,卢龙县,130324,0335
河北省,130000,邯郸市,130400,邯郸市市辖区,130401,0310
河北省,130000,邯郸市,130400,邯山区,130402,0310
河北省,130000,邯郸市,130400,丛台区,130403,0310
河北省,130000,邯郸市,130400,复兴区,130404,0310
河北省,130000,邯郸市,130400,峰峰矿区,130406,0310
河北省,130000,邯郸市,130400,肥乡区,130407,0310
河北省,130000,邯郸市,130400,永年区,130408,0310
河北省,130000,邯郸市,130400,临漳县,130423,0310
河北省,130000,邯郸市,130400,成安县,130424,0310
河北省,130000,邯郸市,130400,大名县,130425,0310
河北省,130000,邯郸市,130400,涉县,130426,0310
河北省,130000,邯郸市,130400,磁县,130427,0310
河北省,130000,邯郸市,130400,邱县,130430,0310
河北省,130000,邯郸市,130400,鸡泽县,130431,0310
河北省,130000,邯郸市,130400,广平县,130432,0310
河北省,130000,邯郸市,130400,馆陶县,130433,0310
河北省,130000,邯郸市,130400,魏县,130434,0310
河北省,130000,邯郸市,130400,曲周县,130435,0310
河北省,130000,邯郸市,130400,武安市,130481,0310
河北省,130000,邢台市,130500,邢台市市辖区,130501,0319
河北省,130000,邢台市,130500,襄都区,130502,0319
河北省,130000,邢台市,130500,信都区,130503,0319
河北省,130000,邢台市,130500,临城县,130522,0319
河北省,130000,邢台市,130500,内丘县,130523,0319
河北省,130000,邢台市,130500,柏乡县,130524,0319
河北省,130000,邢台市,130500,隆尧县,130525,0319
河北省,130000,邢台市,130500,任泽区,130505,0319
河北省,130000,邢台市,130500,南和区,130506,0319
河北省,130000,邢台市,130500,宁晋县,130528,0319
河北省,130000,邢台市,130500,巨鹿县,130529,0319
河北省,130000,邢台市,130500,新河县,130530,0319
河北省,130000,邢台市,130500,广宗县,130531,0319
河北省,130000,邢台市,130500,平乡县,130532,0319
河北省,130000,邢台市,130500,威县,130533,0319
河北省,130000,邢台市,130500,清河县,130534,0319
河北省,130000,邢台市,130500,临西县,130535,0319
河北省,130000,邢台市,130500,南宫市,130581,0319
河北省,130000,邢台市,130500,沙河市,130582,0319
河北省,130000,保定市,130600,保定市市辖区,130601,0312
河北省,130000,保定市,130600,竞秀区,130602,0312
河北省,130000,保定市,130600,莲池区,130606,0312
河北省,130000,保定市,130600,满城区,130607,0312
河北省,130000,保定市,130600,清苑区,130608,0312
河北省,130000,保定市,130600,徐水区,130609,0312
河北省,130000,保定市,130600,涞水县,130623,0312
河北省,130000,保定市,130600,阜平县,130624,0312
河北省,130000,保定市,130600,定兴县,130626,0312
河北省,130000,保定市,130600,唐县,130627,0312
河北省,130000,保定市,130600,高阳县,130628,0312
河北省,130000,保定市,130600,容城县,130629,0312
河北省,130000,保定市,130600,涞源县,130630,0312
河北省,130000,保定市,130600,望都县,130631,0312
河北省,130000,保定市,130600,安新县,130632,0312
河北省,130000,保定市,130600,易县,130633,0312
河北省,130000,保定市,130600,曲阳县,130634,0312
河北省,130000,保定市,130600,蠡县,130635,0312
河北省,130000,保定市,130600,顺平县,130636,0312
河北省,130000,保定市,130600,博野县,130637,0312
河北省,130000,保定市,130600,雄县,130638,0312
河北省,130000,保定市,130600,涿州市,130681,0312
河北省,130000,保定市,130600,定州市,130682,0312
河北省,130000,保定市,130600,安国市,130683,0312
河北省,130000,保定市,130600,高碑店市,130684,0312
河北省,130000,张家口市,130700,张家口市市辖区,130701,0313
河北省,130000,张家口市,130700,桥东区,130702,0313
河北省,130000,张家口市,130700,桥西区,130703,0313
河北省,130000,张家口市,130700,宣化区,130705,0313
河北省,130000,张家口市,130700,下花园区,130706,0313
河北省,130000,张家口市,130700,万全区,130708,0313
河北省,130000,张家口市,130700,崇礼区,130709,0313
河北省,130000,张家口市,130700,张北县,130722,0313
河北省,130000,张家口市,130700,康保县,130723,0313
河北省,130000,张家口市,130700,沽源县,130724,0313
河北省,130000,张家口市,130700,尚义县,130725,0313
河北省,130000,张家口市,130700,蔚县,130726,0313
河北省,130000,张家口市,130700,阳原县,130727,0313
河北省,130000,张家口市,130700,怀安县,130728,0313
河北省,130000,张家口市,130700,怀来县,130730,0313
河北省,130000,张家口市,130700,涿鹿县,130731,0313
河北省,130000,张家口市,130700,赤城县,130732,0313
河北省,130000,承德市,130800,承德市市辖区,130801,0314
河北省,130000,承德市,130800,双桥区,130802,0314
河北省,130000,承德市,130800,双滦区,130803,0314
河北省,130000,承德市,130800,鹰手营子矿区,130804,0314
河北省,130000,承德市,130800,承德县,130821,0314
河北省,130000,承德市,130800,兴隆县,130822,0314
河北省,130000,承德市,130800,滦平县,130824,0314
河北省,130000,承德市,130800,隆化县,130825,0314
河北省,130000,承德市,130800,丰宁满族自治县,130826,0314
河北省,130000,承德市,130800,宽城满族自治县,130827,0314
河北省,130000,承德市,130800,围场满族蒙古族自治县,130828,0314
河北省,130000,承德市,130800,平泉市,130881,0314
河北省,130000,沧州市,130900,沧州市市辖区,130901,0317
河北省,130000,沧州市,130900,新华区,130902,0317
河北省,130000,沧州市,130900,运河区,130903,0317
河北省,130000,沧州市,130900,沧县,130921,0317
河北省,130000,沧州市,130900,青县,130922,0317
河北省,130000,沧州市,130900,东光县,130923,0317
河北省,130000,沧州市,130900,海兴县,130924,0317
河北省,130000,沧州市,130900,盐山县,130925,0317
河北省,130000,沧州市,130900,肃宁县,130926,0317
河北省,130000,沧州市,130900,南皮县,130927,0317
河北省,130000,沧州市,130900,吴桥县,130928,0317
河北省,130000,沧州市,130900,献县,130929,0317
河北省,130000,沧州市,130900,孟村回族自治县,130930,0317
河北省,130000,沧州市,130900,泊头市,130981,0317
河北省,130000,沧州市,130900,任丘市,130982,0317
河北省,130000,沧州市,130900,黄骅市,130983,0317
河北省,130000,沧州市,130900,河间市,130984,0317
河北省,130000,廊坊市,131000,廊坊市市辖区,131001,0316
河北省,130000,廊坊市,131000,安次区,131002,0316
河北省,130000,廊坊市,131000,广阳区,131003,0316
河北省,130000,廊坊市,131000,固安县,131022,0316
河北省,130000,廊坊市,131000,永清县,131023,0316
河北省,130000,廊坊市,131000,香河县,131024,0316
河北省,130000,廊坊市,131000,大城县,131025,0316
河北省,130000,廊坊市,131000,文安县,131026,0316
河北省,130000,廊坊市,131000,大厂回族自治县,131028,0316
河北省,130000,廊坊市,131000,霸州市,131081,0316
河北省,130000,廊坊市,131000,三河市,131082,0316
河北省,130000,衡水市,131100,衡水市市辖区,131101,0318
河北省,130000,衡水市,131100,桃城区,131102,0318
河北省,130000,衡水市,131100,冀州区,131103,0318
河北省,130000,衡水市,131100,枣强县,131121,0318
河北省,130000,衡水市,131100,武邑县,131122,0318
河北省,130000,衡水市,131100,武强县,131123,0318
河北省,130000,衡水市,131100,饶阳县,131124,0318
河北省,130000,衡水市,131100,安平县,131125,0318
河北省,130000,衡水市,131100,故城县,131126,0318
河北省,130000,衡水市,131100,景县,131127,0318
河北省,130000,衡水市,131100,阜城县,131128,0318
河北省,130000,衡水市,131100,深州市,131182,0318
山西省,140000,太原市,140100,太原市市辖区,140101,0351
山西省,140000,太原市,140100,小店区,140105,0351
山西省,140000,太原市,140100,迎泽区,140106,0351
山西省,140000,太原市,140100,杏花岭区,140107,0351
山西省,140000,太原市,140100,尖草坪区,140108,0351
山西省,140000,太原市,140100,万柏林区,140109,0351
山西省,140000,太原市,140100,晋源区,140110,0351
山西省,140000,太原市,140100,清徐县,140121,0351
山西省,140000,太原市,140100,阳曲县,140122,0351
山西省,140000,太原市,140100,娄烦县,140123,0351
山西省,140000,太原市,140100,古交市,140181,0351
山西省,140000,大同市,140200,大同市市辖区,140201,0352
山西省,140000,大同市,140200,平城区,140213,0352
山西省,140000,大同市,140200,云冈区,140214,0352
山西省,140000,大同市,140200,新荣区,140212,0352
山西省,140000,大同市,140200,阳高县,140221,0352
山西省,140000,大同市,140200,天镇县,140222,0352
山西省,140000,大同市,140200,广灵县,140223,0352
山西省,140000,大同市,140200,灵丘县,140224,0352
山西省,140000,大同市,140200,浑源县,140225,0352
山西省,140000,大同市,140200,左云县,140226,0352
山西省,140000,大同市,140200,云州区,140215,0352
山西省,140000,阳泉市,140300,阳泉市市辖区,140301,0353
山西省,140000,阳泉市,140300,城区,140302,0353
山西省,140000,阳泉市,140300,矿区,140303,0353
